District,Season,season_temporal,transplant_month,growth_start_month,harvest_start_month,temp_diurnal_range,temp_mean,gdd_proxy,svp_proxy,vpd_proxy,humidity_mid,season_sin,season_cos,area_log,area_x_diurnal,temp_x_humidity,Season_enc,Crop Name_enc,Transplant_enc,Growth_enc,Harvest_enc,District_enc,AP Ratio
Panchagar,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,4.3694478524670215,780.0,1750.0,1,8,6,12,19,49,6.346153846
Patuakhali,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,4.976733742420574,1440.0,1750.0,1,8,6,12,19,50,1.354166667
Pirojpur,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,4.330733340286331,750.0,1750.0,1,8,6,12,19,51,1.266666667
Rajbari,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,5.556828061699537,2580.0,1750.0,1,8,6,12,19,52,11.76744186
Rajshahi,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,4.9344739331306915,1380.0,1750.0,1,8,6,12,19,53,4.101449275
Rangamati,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,5.926926025970411,3740.0,1750.0,1,8,6,12,19,54,1.454545455
Rangpur,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,3.970291913552122,520.0,1750.0,1,8,6,12,19,55,16.23076923
Satkhira,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,6.331501849893691,5610.0,1750.0,1,8,6,12,19,56,3.251336898
Shariatpur,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,5.10594547390058,1640.0,1750.0,1,8,6,12,19,57,2.445121951
Sherpur,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,5.472270673671475,2370.0,1750.0,1,8,6,12,19,58,3.383966245
Sirajganj,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,4.04305126783455,560.0,1750.0,1,8,6,12,19,59,10.75
Sunamganj,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,6.118097198041348,4530.0,1750.0,1,8,6,12,19,60,7.545253863
Sylhet,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,5.8916442118257715,3610.0,1750.0,1,8,6,12,19,61,0.811634349
Tangail,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,4.394449154672439,800.0,1750.0,1,8,6,12,19,62,6.3875
Thakurgaon,Kharif 2,2,6.0,7.0,6.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,-0.8660254037844385,-0.5000000000000004,3.8501476017100584,460.0,1750.0,1,8,6,12,19,63,11.06521739
Bagerhat,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.887518909411305,4072292.0,1885.0,2,9,9,7,0,0,1.847881242
Bandarban,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,9.643939319328119,431956.0,1885.0,2,9,9,7,0,1,1.563233292
Barguna,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,9.7538848483049,482160.0,1885.0,2,9,9,7,0,2,1.317073171
Barishal,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.776220065771406,3643360.0,1885.0,2,9,9,7,0,3,1.61278051
Bhola,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.447362419186469,2622284.0,1885.0,2,9,9,7,0,4,1.548791817
Bogura,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,13.034589527988281,12823524.0,1885.0,2,9,9,7,0,5,1.571584535
Brahmanbaria,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.531104692008832,7750792.0,1885.0,2,9,9,7,0,6,1.86520913
Chandpur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.921013796085084,4211004.0,1885.0,2,9,9,7,0,7,1.659046631
Chapai Nawabganj,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.681317116230685,3313492.0,1885.0,2,9,9,7,0,8,1.802803809
Chattogram,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.95518526890687,4357388.0,1885.0,2,9,9,7,0,9,1.620880215
Chuadanga,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.315705475634307,2298800.0,1885.0,2,9,9,7,0,10,1.524445798
CoxsBazar,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.765519074749514,3604580.0,1885.0,2,9,9,7,0,11,1.600504913
Cumilla,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.819112741344423,10337768.0,1885.0,2,9,9,7,0,12,1.784729934
Dhaka,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.61188352860307,3091228.0,1885.0,2,9,9,7,0,13,1.864394344
Dinajpur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.97145211167168,12038908.0,1885.0,2,9,9,7,0,14,1.655352462
Faridpur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,10.949120916413351,1593284.0,1885.0,2,9,9,7,0,15,1.868056166
Feni,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.108529784820083,1868636.0,1885.0,2,9,9,7,0,16,1.47762111
Gaibandha,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.680021606708504,8995392.0,1885.0,2,9,9,7,0,17,1.630549953
Gazipur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.896478923357074,4108944.0,1885.0,2,9,9,7,0,18,1.755812686
Gopalganj,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.12120623917263,5144328.0,1885.0,2,9,9,7,0,19,1.994410154
Habiganj,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.597026303343316,8278956.0,1885.0,2,9,9,7,0,20,1.479824268
Jamalpur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.682887401300844,9021208.0,1885.0,2,9,9,7,0,21,1.711852781
Jashore,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.870056170767747,10878056.0,1885.0,2,9,9,7,0,22,1.809630324
Jhallokati,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,10.181346536039147,739340.0,1885.0,2,9,9,7,0,23,1.516265859
Jhenaidah,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.194015246366892,5532856.0,1885.0,2,9,9,7,0,24,1.720068623
Joypurhat,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.04109186463206,4748268.0,1885.0,2,9,9,7,0,25,1.645367111
Khagrachari,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,10.19828177359369,751968.0,1885.0,2,9,9,7,0,26,1.548555258
Khulna,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.864131481550345,3978156.0,1885.0,2,9,9,7,0,27,1.712261661
Kishoreganj,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.908672508384306,11306344.0,1885.0,2,9,9,7,0,28,1.720010996
Kurigram,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.530822875664509,7748608.0,1885.0,2,9,9,7,0,29,1.607156279
Kushtia,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.369297559379882,2425360.0,1885.0,2,9,9,7,0,30,1.725202032
Lakshmipur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.245738590389767,2143456.0,1885.0,2,9,9,7,0,31,1.571219563
Lalmonirhat,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.644944464504661,3195136.0,1885.0,2,9,9,7,0,32,1.681689919
Madaripur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.29788648273253,2258200.0,1885.0,2,9,9,7,0,33,1.722083075
Magura,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.365608051774014,2416428.0,1885.0,2,9,9,7,0,34,1.535497851
Manikganj,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.681122742093665,3312848.0,1885.0,2,9,9,7,0,35,1.956793671
Meherpur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,10.777684648363222,1342264.0,1885.0,2,9,9,7,0,36,1.607493012
Moulvibazar,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.83512489944757,3864420.0,1885.0,2,9,9,7,0,37,1.312603702
Munshiganj,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,10.945547126244623,1587600.0,1885.0,2,9,9,7,0,38,1.787407407
Mymensingh,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,13.377279976736663,18064928.0,1885.0,2,9,9,7,0,39,1.669687031
Naogaon,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,13.034892985992787,12827416.0,1885.0,2,9,9,7,0,40,1.787063271
Narail,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.66858643231036,3271576.0,1885.0,2,9,9,7,0,41,1.849668783
Narayanganj,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,10.812310469562762,1389556.0,1885.0,2,9,9,7,0,42,1.741431076
Narsingdi,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.791193362811391,3698324.0,1885.0,2,9,9,7,0,43,1.603143478
Natore,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.906662062199786,4151000.0,1885.0,2,9,9,7,0,44,1.742569983
Netrokona,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,13.015755417344495,12584264.0,1885.0,2,9,9,7,0,45,1.668539376
Nilphamari,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.22835259388789,5726140.0,1885.0,2,9,9,7,0,46,1.762934892
Noakhali,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.023549068331471,4665696.0,1885.0,2,9,9,7,0,47,1.874573911
Pabna,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.80933434780195,3766028.0,1885.0,2,9,9,7,0,48,1.747830871
Panchagar,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.258123533843245,2170168.0,1885.0,2,9,9,7,0,49,1.550641241
Patuakhali,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,7.884576510596324,74340.0,1885.0,2,9,9,7,0,50,1.324670433
Pirojpur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,10.939106791876316,1577408.0,1885.0,2,9,9,7,0,51,1.710469327
Rajbari,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,10.383163008509824,904680.0,1885.0,2,9,9,7,0,52,1.71999381
Rajshahi,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.992049873165284,4521020.0,1885.0,2,9,9,7,0,53,1.643080544
Rangamati,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,9.766407011987761,488236.0,1885.0,2,9,9,7,0,54,1.615816941
Rangpur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.695863583327307,9139032.0,1885.0,2,9,9,7,0,55,1.797211346
Satkhira,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.13106349820929,5195288.0,1885.0,2,9,9,7,0,56,1.593098207
Shariatpur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.068277642986802,1794912.0,1885.0,2,9,9,7,0,57,1.880912268
Sherpur,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.325862554956478,6312628.0,1885.0,2,9,9,7,0,58,1.672864614
Sirajganj,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.757590015334454,9720928.0,1885.0,2,9,9,7,0,59,1.710895914
Sunamganj,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,13.211185281067607,15300376.0,1885.0,2,9,9,7,0,60,1.500594757
Sylhet,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.227878167653492,5723424.0,1885.0,2,9,9,7,0,61,1.225470627
Tangail,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,12.949130790499668,11773160.0,1885.0,2,9,9,7,0,62,1.74931862
Thakurgaon,Rabi,0,11.0,12.0,4.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,0.0,1.0,11.883543747185572,4056136.0,1885.0,2,9,9,7,0,63,1.576106916
Bagerhat,Rabi,0,7.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.57507584059962,7160.0,1200.0,2,10,5,20,10,0,1.477653631
Bandarban,Rabi,0,7.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.746203190540153,3120.0,1200.0,2,10,5,20,10,1,1.727564103
Barguna,Rabi,0,2.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.222576268071369,5030.0,1200.0,2,10,3,20,10,2,1.0
Barishal,Rabi,0,2.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.811140992976701,3330.0,1200.0,2,10,3,20,10,3,1.501501502
Bhola,Rabi,0,3.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.739792912179234,3100.0,1200.0,2,10,7,20,10,4,1.367741935
Bogura,Rabi,0,9.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.85751406254539,9500.0,1200.0,2,10,11,20,10,5,3.162105263
Brahmanbaria,Rabi,0,8.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.860786223465865,3500.0,1200.0,2,10,1,20,10,6,3.294285714
Chandpur,Rabi,0,9.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.303304908059076,2000.0,1200.0,2,10,11,20,10,7,2.96
Chapai Nawabganj,Rabi,0,1.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.660575149839686,7800.0,1200.0,2,10,4,20,10,8,3.51025641
Chattogram,Rabi,0,10.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,7.690286020676768,21860.0,1200.0,2,10,10,20,10,9,1.838975297
Chuadanga,Rabi,0,8.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.666956792429207,7850.0,1200.0,2,10,1,20,10,10,2.625477707
CoxsBazar,Rabi,0,12.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.707110264748875,3000.0,1200.0,2,10,2,20,10,11,10.31666667
Cumilla,Rabi,0,11.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,7.3310603052186325,15260.0,1200.0,2,10,9,20,10,12,2.81061599
Dhaka,Rabi,0,6.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.55250788703459,7000.0,1200.0,2,10,6,20,10,13,2.237142857
Dinajpur,Rabi,0,5.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.19644412779452,4900.0,1200.0,2,10,8,20,10,14,2.328571429
Faridpur,Rabi,0,7.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.2166061010848646,5000.0,1200.0,2,10,5,20,10,15,1.396
Feni,Rabi,0,1.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.3981627015177525,2200.0,1200.0,2,10,4,20,10,16,1.581818182
Gaibandha,Rabi,0,6.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.707110264748875,3000.0,1200.0,2,10,6,20,10,17,1.733333333
Gazipur,Rabi,0,8.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.707110264748875,3000.0,1200.0,2,10,1,20,10,18,1.99
Gopalganj,Rabi,0,9.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.222576268071369,5030.0,1200.0,2,10,11,20,10,19,1.435387674
Habiganj,Rabi,0,1.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.204006687076795,1810.0,1200.0,2,10,4,20,10,20,3.049723757
Jamalpur,Rabi,0,5.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.85751406254539,9500.0,1200.0,2,10,8,20,10,21,2.788421053
Jashore,Rabi,0,9.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,7.00397413672268,11000.0,1200.0,2,10,11,20,10,22,3.161818182
Jhallokati,Rabi,0,4.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.104793232414985,4470.0,1200.0,2,10,0,20,10,23,1.418344519
Jhenaidah,Rabi,0,10.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.55250788703459,7000.0,1200.0,2,10,10,20,10,24,3.067142857
Joypurhat,Rabi,0,10.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.111467339502679,4500.0,1200.0,2,10,10,20,10,25,3.68
Khagrachari,Rabi,0,2.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.808142489980444,3320.0,1200.0,2,10,3,20,10,26,2.262048193
Khulna,Rabi,0,11.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.311734809152915,5500.0,1200.0,2,10,9,20,10,27,1.967272727
Kishoreganj,Rabi,0,10.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.154858094016418,4700.0,1200.0,2,10,10,20,10,28,3.391489362
Kurigram,Rabi,0,7.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,4.795790545596741,1200.0,1200.0,2,10,5,20,10,29,3.333333333
Kushtia,Rabi,0,12.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,7.244941546337007,14000.0,1200.0,2,10,2,20,10,30,2.250714286
Lakshmipur,Rabi,0,3.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.583496308781699,2650.0,1200.0,2,10,7,20,10,31,2.505660377
Lalmonirhat,Rabi,0,8.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.303304908059076,2000.0,1200.0,2,10,1,20,10,32,1.15
Madaripur,Rabi,0,11.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.993961427306569,4000.0,1200.0,2,10,9,20,10,33,3.615
Magura,Rabi,0,1.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,7.170888478512505,13000.0,1200.0,2,10,4,20,10,34,1.868461538
Manikganj,Rabi,0,12.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.918893854273146,3710.0,1200.0,2,10,2,20,10,35,2.142857143
Meherpur,Rabi,0,2.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.993961427306569,4000.0,1200.0,2,10,3,20,10,36,2.45
Moulvibazar,Rabi,0,2.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.968707559985366,3900.0,1200.0,2,10,3,20,10,37,4.907692308
Munshiganj,Rabi,0,1.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.017279836814924,1500.0,1200.0,2,10,4,20,10,38,2.153333333
Mymensingh,Rabi,0,6.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,7.617267813628347,20320.0,1200.0,2,10,6,20,10,39,3.146653543
Naogaon,Rabi,0,11.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.398594934535208,6000.0,1200.0,2,10,9,20,10,40,4.838333333
Narail,Rabi,0,3.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.398594934535208,6000.0,1200.0,2,10,7,20,10,41,2.08
Narayanganj,Rabi,0,2.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.303304908059076,2000.0,1200.0,2,10,3,20,10,42,2.055
Narsingdi,Rabi,0,3.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.932245187448011,3760.0,1200.0,2,10,7,20,10,43,2.106382979
Natore,Rabi,0,12.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.803505257608338,9000.0,1200.0,2,10,2,20,10,44,3.328888889
Netrokona,Rabi,0,7.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.8916442118257715,3610.0,1200.0,2,10,5,20,10,45,6.202216066
Nilphamari,Rabi,0,9.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.478509642208569,6500.0,1200.0,2,10,11,20,10,46,3.141538462
Noakhali,Rabi,0,4.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.707110264748875,3000.0,1200.0,2,10,0,20,10,47,3.303333333
Pabna,Rabi,0,2.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,6.68586094706836,8000.0,1200.0,2,10,3,20,10,48,2.6125
Panchagar,Rabi,0,10.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.3981627015177525,2200.0,1200.0,2,10,10,20,10,49,2.204545455
Patuakhali,Rabi,0,5.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.308267697401205,2010.0,1200.0,2,10,8,20,10,50,2.656716418
Pirojpur,Rabi,0,6.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,4.406719247264253,810.0,1200.0,2,10,6,20,10,51,7.530864198
Rajbari,Rabi,0,4.0,9.0,2.0,10.0,20.0,10.0,2.3390469163992624,0.935618766559705,60.0,0.0,1.0,5.771441123130016,3200.0,1200.0,2,10,0,20,10,52,1.675
